run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
322381,W-2_RB1in_S01,-2,1,1,1.88457,33404,0.00609309,1.00379,1.89172,598,Col,51.357992171999996
322381,W-2_RB1out_S01,-2,1,1,1.84369,29322,0.00930584,1.00322,1.84962,598,Col,56.078348160000004
322381,W-2_RB2in_S01,-2,1,2,2.01448,35473,0.008348,1.00411,2.02275,598,Col,78.3090057375
322381,W-2_RB2out_S01,-2,1,2,1.85269,30310,0.0109413,1.0027,1.85769,598,Col,81.80146789566668
322381,W-2_RB3+_S01,-2,1,3,1.85359,14078,0.00618828,1.00119,1.85579,598,Col,91.5774154665
322381,W-2_RB3-_S01,-2,1,3,1.9006,14608,0.00143117,1.00143,1.90332,598,Col,90.6881484985
322381,W-2_RB4+_S01,-2,1,4,1.89577,13987,0.00325291,1.00231,1.90015,598,Col,50.574710845999995
322381,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB1in_S02,-2,2,1,1.97614,37762,0.00539013,1.00378,1.98361,598,Col,52.640130996500005
322381,W-2_RB1out_S02,-2,2,1,2.14505,37251,0.00863757,1.00335,2.15224,598,Col,57.6305904385
322381,W-2_RB2in_S02,-2,2,2,1.81487,33557,0.00789616,1.00326,1.82078,598,Col,79.305175781
322381,W-2_RB2out_S02,-2,2,2,2.27291,38119,0.0125812,1.00245,2.27848,598,Col,82.50612131733332
322381,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB3-_S02,-2,2,3,1.69181,13164,0.00668295,1.00051,1.69268,598,Col,91.1604385375
322381,W-2_RB4+_S02,-2,2,4,1.83378,14342,0.00626518,1.00115,1.83589,598,Col,57.065217972
322381,W-2_RB4-_S02,-2,2,4,1.74507,11952,0.0086144,1.00102,1.74686,598,Col,67.39130401599999
322381,W-2_RB1in_S03,-2,3,1,2.04115,36702,0.00756354,1.00391,2.04913,598,Col,51.573976517
322381,W-2_RB1out_S03,-2,3,1,2.07424,34001,0.00829673,1.0041,2.08276,598,Col,55.703886032
322381,W-2_RB2in_S03,-2,3,2,2.14336,37721,0.00892096,1.00376,2.15143,598,Col,75.554595947
322381,W-2_RB2out_S03,-2,3,2,2.00337,33302,0.0105877,1.00241,2.0082,598,Col,81.494585673
322381,W-2_RB3+_S03,-2,3,3,1.62731,10737,0.00484995,1.00061,1.6283,598,Col,81.77723312399999
322381,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB4+_S03,-2,3,4,1.71265,12564,0.00640676,1.00123,1.71475,598,Col,64.7435913085
322381,W-2_RB4-_S03,-2,3,4,1.87361,13683,0.0142407,1.0011,1.87567,598,Col,67.586206436
322381,W-2_RB1in_S04,-2,4,1,2.00335,35273,0.00857613,1.00428,2.01192,598,Col,51.056203842
322381,W-2_RB1out_S04,-2,4,1,2.32512,37274,0.00829643,1.00382,2.334,598,Col,56.1880817415
322381,W-2_RB2in_S04,-2,4,2,1.99793,33747,0.0199515,1.00303,2.00398,598,Col,77.92884445199999
322381,W-2_RB2out_S04,-2,4,2,1.90339,27740,0.00953753,1.00206,1.90732,598,Col,76.833409627
322381,W-2_RB3+_S04,-2,4,3,2.34241,17643,0.00690388,1.00146,2.34583,598,Col,91.644100189
322381,W-2_RB3-_S04,-2,4,3,1.82145,13313,0.00424135,1.00068,1.8227,598,Col,89.655834198
322381,W-2_RB4++_S04,-2,4,4,1.7183,7942,0.0049762,1.00087,1.71979,598,Col,77.8591957095
322381,W-2_RB4+_S04,-2,4,4,1.62552,8942,0.00636248,1.00073,1.62671,598,Col,94.38275146449999
322381,W-2_RB4--_S04,-2,4,4,1.56443,7054,0.00487913,1.00044,1.56512,598,Col,63.7958526615
322381,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB1in_S05,-2,5,1,2.14928,36944,0.00855198,1.00356,2.15694,598,Col,50.426153183
322381,W-2_RB1out_S05,-2,5,1,1.97532,31058,0.010049,1.00396,1.98314,598,Col,55.9654922485
322381,W-2_RB2in_S05,-2,5,2,1.89425,31848,0.284542,1.00346,1.90081,598,Col,75.4869422915
322381,W-2_RB2out_S05,-2,5,2,2.02545,31992,0.11358,1.00241,2.03034,598,Col,80.70344797766667
322381,W-2_RB3+_S05,-2,5,3,1.90804,13839,0.218806,1.00097,1.90988,598,Col,88.6591033935
322381,W-2_RB3-_S05,-2,5,3,1.7813,13659,0.00808555,1.00144,1.78386,598,Col,90.33938980100001
322381,W-2_RB4+_S05,-2,5,4,1.82684,12090,0.250378,1.00182,1.83015,598,Col,48.1060619355
322381,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB1in_S06,-2,6,1,2.04632,36756,0.00707048,1.00324,2.05295,598,Col,51.866687774499994
322381,W-2_RB1out_S06,-2,6,1,2.31871,37679,0.00584615,1.00321,2.32615,598,Col,56.9098472595
322381,W-2_RB2in_S06,-2,6,2,2.17559,38410,0.0122345,1.00352,2.18325,598,Col,78.7039642335
322381,W-2_RB2out_S06,-2,6,2,1.96011,31058,0.00877248,1.00209,1.9642,598,Col,81.011894226
322381,W-2_RB3+_S06,-2,6,3,1.71473,12701,0.0055353,1.00122,1.71682,598,Col,91.38308715849999
322381,W-2_RB3-_S06,-2,6,3,1.69794,13176,0.00734536,1.00064,1.69903,598,Col,90.68848037699999
322381,W-2_RB4+_S06,-2,6,4,1.85433,12513,0.0118554,1.00148,1.85708,598,Col,61.764705658
322381,W-2_RB4-_S06,-2,6,4,1.71047,11780,0.00522724,1.00116,1.71246,598,Col,37.391304016
322381,W-2_RB1in_S07,-2,7,1,2.06365,35633,0.00613888,1.00343,2.07072,598,Col,51.229030609
322381,W-2_RB1out_S07,-2,7,1,1.90094,30071,0.0113155,1.00304,1.90673,598,Col,56.567340851
322381,W-2_RB2in_S07,-2,7,2,1.98405,31092,0.00465829,1.00294,1.98989,598,Col,72.61857986449999
322381,W-2_RB2out_S07,-2,7,2,1.79807,27888,0.0137331,1.00259,1.80271,598,Col,80.35610198966667
322381,W-2_RB3+_S07,-2,7,3,2.20948,15937,0.0106752,1.00083,2.21132,598,Col,90.32384872450001
322381,W-2_RB3-_S07,-2,7,3,2.00053,15038,0.00478914,1.0012,2.00293,598,Col,91.74846267699999
322381,W-2_RB4+_S07,-2,7,4,1.86578,12553,0.00356718,1.00045,1.86662,598,Col,67.85714340199999
322381,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB1in_S08,-2,8,1,1.91209,33737,0.00816141,1.00387,1.91949,598,Col,47.5739860535
322381,W-2_RB1out_S08,-2,8,1,1.47034,20426,0.0105096,1.00282,1.47448,598,Col,45.8024578095
322381,W-2_RB2in_S08,-2,8,2,2.11418,36476,0.0170405,1.00437,2.12341,598,Col,77.1122283935
322381,W-2_RB2out_S08,-2,8,2,1.92546,30172,0.0103382,1.00275,1.93076,598,Col,80.37088521333334
322381,W-2_RB3+_S08,-2,8,3,1.72001,13275,0.00647836,1.00065,1.72112,598,Col,91.674785614
322381,W-2_RB3-_S08,-2,8,3,2.09096,15793,0.00383953,1.00159,2.09428,598,Col,91.88737106299999
322381,W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,598,Col,0.0
322381,W-2_RB4-_S08,-2,8,4,1.35515,9131,0.0037103,1.00193,1.35777,598,Col,61.75213432299999
322381,W-2_RB1in_S09,-2,9,1,1.90633,33275,0.00658837,1.00403,1.91401,598,Col,51.2387123105
322381,W-2_RB1out_S09,-2,9,1,1.9101,30193,0.00854052,1.00285,1.91556,598,Col,55.639564514
322381,W-2_RB2in_S09,-2,9,2,2.13457,37530,0.00631327,1.00348,2.142,598,Col,77.7755813595
322381,W-2_RB2out_S09,-2,9,2,1.68306,26318,0.00569163,1.00231,1.68694,598,Col,79.26540374766667
