run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,contains_zero_roll,rolls_count,fid_eff_ch_level
324293,W-2_RB1out_S06,-2,6,1,2.2961,104064,0.00593531,1.00372,2.30465,2346,Col,60.40596961999999,0,2,97.3677749633789
324293,W-2_RB2in_S06,-2,6,2,2.18902,107343,0.0100332,1.00323,2.1961,2346,Col,82.25959014899999,0,2,98.68415832519533
324293,W-2_RB2out_S06,-2,6,2,1.98215,87843,0.00679198,1.00251,1.98713,2346,Col,84.33148702,0,3,98.47618103027344
324293,W-2_RB3+_S06,-2,6,3,1.69338,35986,0.00484683,1.00089,1.69489,2346,Col,92.16027832,0,2,97.8995361328125
324293,W-2_RB3-_S06,-2,6,3,1.70151,36654,0.00366725,1.00093,1.70309,2346,Col,92.0366630555,0,2,97.58335876464844
324293,W-2_RB4+_S06,-2,6,4,1.87033,36363,0.00879539,1.00124,1.87264,2346,Col,49.464286804,0,2,91.32247161865234
324293,W-2_RB4-_S06,-2,6,4,1.71957,33444,0.0043704,1.00144,1.72205,2346,Col,56.467660904,0,2,94.18558502197266
324293,W-2_RB1in_S07,-2,7,1,2.09088,101972,0.037441,1.00387,2.09897,2346,Col,53.9748039245,0,2,96.67760467529295
324293,W-2_RB1out_S07,-2,7,1,1.90417,84983,0.00647546,1.0036,1.91102,2346,Col,59.365537643500005,0,2,97.92822647094728
324293,W-2_RB2in_S07,-2,7,2,1.99926,88589,0.00403963,1.00326,2.00577,2346,Col,75.3427848815,0,2,90.30229949951172
324293,W-2_RB2out_S07,-2,7,2,1.83364,80231,0.00626214,1.00254,1.83831,2346,Col,83.39739735900001,0,3,98.06675720214844
324293,W-2_RB3+_S07,-2,7,3,2.24305,45406,0.00983056,1.00114,2.2456,2346,Col,91.2972221375,0,2,96.85136032104492
324293,W-2_RB3-_S07,-2,7,3,1.98686,41728,0.00618989,1.001,1.98885,2346,Col,92.330280304,0,2,97.8489875793457
324293,W-2_RB4+_S07,-2,7,4,1.87441,35209,0.00292802,1.0008,1.87591,2346,Col,55.55555343649999,0,2,95.52475357055664
324293,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-2_RB1in_S08,-2,8,1,1.94042,94287,0.00549484,1.0037,1.9476,2346,Col,50.5055160525,0,2,96.19748306274414
324293,W-2_RB1out_S08,-2,8,1,1.46608,56818,0.0074571,1.00287,1.47029,2346,Col,48.5622940065,0,2,82.43978500366211
324293,W-2_RB2in_S08,-2,8,2,2.12356,102723,0.0141194,1.00398,2.13202,2346,Col,80.3188705445,0,2,97.36092376708984
324293,W-2_RB2out_S08,-2,8,2,1.94459,85974,0.0439247,1.00304,1.9505,2346,Col,83.19235229499999,0,3,98.21028900146484
324293,W-2_RB3+_S08,-2,8,3,1.72481,37656,0.0042598,1.00096,1.72647,2346,Col,93.064998627,0,2,98.41673278808594
324293,W-2_RB3-_S08,-2,8,3,2.1087,45531,0.0796128,1.00065,2.11007,2346,Col,93.1298561095,0,2,98.39295196533205
324293,W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-2_RB4-_S08,-2,8,4,1.39832,26975,0.00409517,1.00099,1.3997,2346,Col,51.517856598,0,2,90.15839385986328
324293,W-2_RB1in_S09,-2,9,1,1.91452,93505,0.0045864,1.00391,1.92199,2346,Col,54.531032562,0,2,96.44761657714844
324293,W-2_RB1out_S09,-2,9,1,1.92275,85149,0.00512589,1.0034,1.92929,2346,Col,59.5119781495,0,2,97.18513107299805
324293,W-2_RB2in_S09,-2,9,2,2.11722,103134,0.0057686,1.00334,2.12428,2346,Col,80.6628494265,0,2,97.44275665283205
324293,W-2_RB2out_S09,-2,9,2,1.70352,74575,0.00436302,1.00231,1.70746,2346,Col,82.21243286133334,0,3,96.6489028930664
324293,W-2_RB3+_S09,-2,9,3,1.86304,37095,0.0025614,1.0008,1.86454,2346,Col,88.2790641785,0,2,94.6416473388672
324293,W-2_RB3-_S09,-2,9,3,1.90468,40785,0.00429646,1.00061,1.90584,2346,Col,92.6790351865,0,2,98.05956268310548
324293,W-2_RB4_S09,-2,9,4,1.73694,37061,0.00290575,1.00155,1.73963,2346,Col,69.658121109,0,2,96.86068725585938
324293,W-2_RB1in_S10,-2,10,1,2.38534,118790,0.00508032,1.00387,2.39457,2346,Col,54.687166214,0,2,96.95788955688477
324293,W-2_RB1out_S10,-2,10,1,1.90346,87401,0.0380251,1.00374,1.91057,2346,Col,58.674118042,0,2,95.2266731262207
324293,W-2_RB2in_S10,-2,10,2,2.01971,102989,0.0316716,1.00443,2.02866,2346,Col,82.29726409899999,0,2,98.97102737426758
324293,W-2_RB2out_S10,-2,10,2,2.06512,95553,0.00447374,1.00306,2.07143,2346,Col,84.239479065,0,3,98.28639475504558
324293,W-2_RB3+_S10,-2,10,3,1.64247,36049,0.0716694,1.00123,1.6445,2346,Col,91.8580970765,0,2,97.90459823608398
324293,W-2_RB3-_S10,-2,10,3,1.72355,35331,0.00356115,1.00103,1.72531,2346,Col,85.493270874,0,2,92.36712265014648
324293,W-2_RB4+_S10,-2,10,4,1.80873,48342,0.00265649,1.00236,1.81301,2346,Col,94.9961586,0,2,98.08069229125977
324293,W-2_RB4-_S10,-2,10,4,1.84031,48251,0.00541592,1.00191,1.84382,2346,Col,94.467891693,0,2,97.80400466918944
324293,W-2_RB1in_S11,-2,11,1,2.17166,97994,0.00890878,1.00313,2.17847,2346,Col,49.4152469635,0,2,87.81269454956055
324293,W-2_RB1out_S11,-2,11,1,2.08078,93866,0.0126577,1.003,2.08702,2346,Col,58.1415729525,0,2,96.1498680114746
324293,W-2_RB2in_S11,-2,11,2,2.15007,109118,0.0367875,1.00346,2.15751,2346,Col,80.7010269165,0,2,97.98722457885742
324293,W-2_RB2out_S11,-2,11,2,1.95251,91352,0.0397546,1.00272,1.95782,2346,Col,83.89832560233334,0,3,98.60251871744792
324293,W-2_RB3+_S11,-2,11,3,1.93642,42851,0.00664287,1.00077,1.93791,2346,Col,92.613304138,0,2,98.32608032226562
324293,W-2_RB3-_S11,-2,11,3,1.93474,42454,0.116165,1.00073,1.93615,2346,Col,92.1839179995,0,2,97.97646713256836
324293,W-2_RB4_S11,-2,11,4,1.76977,39965,0.00921088,1.00169,1.77276,2346,Col,65.400156021,0,2,98.59581756591795
324293,W-2_RB1in_S12,-2,12,1,2.1274,102513,0.00709735,1.00431,2.13658,2346,Col,54.9819278715,0,2,97.33174896240234
324293,W-2_RB1out_S12,-2,12,1,1.98668,86939,0.00687827,1.00344,1.99351,2346,Col,59.182750702,0,2,97.02063369750977
324293,W-2_RB2in_S12,-2,12,2,2.13751,100512,0.0110584,1.00376,2.14554,2346,Col,79.498512268,0,2,96.38246536254884
324293,W-2_RB2out_S12,-2,12,2,1.87978,81699,0.00832912,1.00277,1.88498,2346,Col,83.37616221100001,0,3,98.45543416341144
324293,W-2_RB3+_S12,-2,12,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-2_RB3-_S12,-2,12,3,2.75258,59530,0.00610348,1.00125,2.75602,2346,Col,94.069000244,0,2,99.5907096862793
324293,W-2_RB4+_S12,-2,12,4,1.78929,37092,0.00501688,1.00135,1.79171,2346,Col,66.161617279,0,2,98.8344612121582
324293,W-2_RB4-_S12,-2,12,4,1.66394,25881,0.0032789,1.00084,1.66534,2346,Col,54.638010025,0,2,98.65370559692384
324293,W-1_RB1in_S01,-1,1,1,2.06661,155905,0.00609756,1.0064,2.07984,2346,Col,86.189353943,0,2,97.37002944946288
324293,W-1_RB1out_S01,-1,1,1,2.07315,139844,0.00837595,1.00547,2.08449,2346,Col,86.5364990235,0,2,98.05305480957033
324293,W-1_RB2in_S01,-1,1,2,1.91854,128283,0.00569805,1.00399,1.9262,2346,Col,90.42094421400002,0,3,97.36867777506512
324293,W-1_RB2out_S01,-1,1,2,2.00642,118425,0.00689562,1.00424,2.01492,2346,Col,90.011554718,0,2,96.00611877441406
324293,W-1_RB3+_S01,-1,1,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB3-_S01,-1,1,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4+_S01,-1,1,4,2.17628,59691,0.00864081,1.00146,2.17946,2346,Col,89.2022819515,0,2,98.14907455444336
324293,W-1_RB4-_S01,-1,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB1in_S02,-1,2,1,2.16449,171146,0.00617175,1.00598,2.17743,2346,Col,84.537017822,0,2,95.59412384033205
324293,W-1_RB1out_S02,-1,2,1,2.38364,167243,0.00724028,1.00511,2.39583,2346,Col,84.3980407715,0,2,95.43852996826172
324293,W-1_RB2in_S02,-1,2,2,2.21276,156604,0.00864737,1.00439,2.22247,2346,Col,91.25837707533331,0,3,98.42514038085938
324293,W-1_RB2out_S02,-1,2,2,1.78437,109887,0.00513129,1.00393,1.79138,2346,Col,89.84928512549999,0,2,95.48419570922852
324293,W-1_RB3+_S02,-1,2,3,1.6923,51483,0.00289264,1.00102,1.69402,2346,Col,94.036441803,0,2,97.93660354614258
324293,W-1_RB3-_S02,-1,2,3,1.81362,51652,0.00519663,1.00148,1.8163,2346,Col,92.820381165,0,2,96.77252578735352
324293,W-1_RB4+_S02,-1,2,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4-_S02,-1,2,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB1in_S03,-1,3,1,2.2164,135504,0.0551548,1.00533,2.22821,2346,Col,83.530269623,0,2,96.1953010559082
324293,W-1_RB1out_S03,-1,3,1,2.26721,125050,0.0354812,1.00481,2.27811,2346,Col,85.2705383305,0,2,97.37011337280272
324293,W-1_RB2in_S03,-1,3,2,1.78707,97608,0.00624325,1.0036,1.79351,2346,Col,87.35581207266667,0,3,97.63221232096356
324293,W-1_RB2out_S03,-1,3,2,1.76,87766,0.00836224,1.00397,1.76698,2346,Col,88.467845917,0,2,94.59339904785156
324293,W-1_RB3+_S03,-1,3,3,1.72699,38182,0.00334705,1.00113,1.72894,2346,Col,93.221790314,0,2,97.1124267578125
324293,W-1_RB3-_S03,-1,3,3,1.74669,41573,0.00499979,1.00109,1.7486,2346,Col,93.283531189,0,2,97.84121322631836
324293,W-1_RB4+_S03,-1,3,4,1.65623,31364,0.00480541,1.00137,1.65851,2346,Col,93.0390663145,0,2,97.29520797729492
324293,W-1_RB4-_S03,-1,3,4,1.51177,30621,0.00449272,1.00104,1.51334,2346,Col,73.3697624205,0,2,96.83752822875977
324293,W-1_RB1in_S04,-1,4,1,2.3692,176053,0.0275202,1.00559,2.38244,2346,Col,84.393417358,0,2,97.08389663696288
324293,W-1_RB1out_S04,-1,4,1,1.79391,55658,0.00506027,1.00444,1.80187,2346,Col,40.3905296325,1,2,47.20162582397461
324293,W-1_RB2in_S04,-1,4,2,1.73145,105733,0.048554,1.00357,1.73763,2346,Col,82.47777557366668,0,3,91.95013427734376
324293,W-1_RB2out_S04,-1,4,2,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB3+_S04,-1,4,3,1.90674,52136,0.0203343,1.00125,1.90911,2346,Col,92.673408508,0,2,96.89865112304688
324293,W-1_RB3-_S04,-1,4,3,1.68462,45013,0.00291916,1.00105,1.68639,2346,Col,92.902935028,0,2,97.21604919433594
324293,W-1_RB4++_S04,-1,4,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4+_S04,-1,4,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4--_S04,-1,4,4,1.6527,23237,0.112233,1.00043,1.65341,2346,Col,94.2388343815,0,2,96.37786102294922
324293,W-1_RB4-_S04,-1,4,4,1.53557,29595,0.00191978,1.00057,1.53644,2346,Col,95.952823639,0,2,98.0432243347168
324293,W-1_RB1in_S05,-1,5,1,1.98943,143949,0.111143,1.00531,1.99999,2346,Col,83.773109436,0,2,95.78373336791992
324293,W-1_RB1out_S05,-1,5,1,2.19695,145596,0.121439,1.00487,2.20764,2346,Col,85.9097824095,0,2,97.85735321044922
324293,W-1_RB2in_S05,-1,5,2,1.85321,123715,0.050931,1.00377,1.86021,2346,Col,89.802660624,0,3,97.83971405029295
324293,W-1_RB2out_S05,-1,5,2,1.9064,114325,0.0810085,1.00392,1.91387,2346,Col,91.577064514,0,2,97.73235321044922
324293,W-1_RB3+_S05,-1,5,3,2.19661,58263,0.0661665,1.00132,2.19952,2346,Col,93.819602966,0,2,97.53250885009766
324293,W-1_RB3-_S05,-1,5,3,1.78515,49961,0.0718191,1.00122,1.78732,2346,Col,93.5376739505,0,2,97.77370834350586
324293,W-1_RB4+_S05,-1,5,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4-_S05,-1,5,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB1in_S06,-1,6,1,2.12221,160356,0.00652453,1.00564,2.13418,2346,Col,85.09760284449999,0,2,97.13007354736328
324293,W-1_RB1out_S06,-1,6,1,2.0526,136701,0.00678689,1.00495,2.06276,2346,Col,85.332092285,0,2,97.06388092041016
324293,W-1_RB2in_S06,-1,6,2,2.24973,145760,0.00936873,1.00415,2.25907,2346,Col,87.90316263833334,0,3,94.88038889567058
324293,W-1_RB2out_S06,-1,6,2,1.82503,108841,0.0039069,1.00406,1.83243,2346,Col,90.735572815,0,2,96.88925552368164
324293,W-1_RB3+_S06,-1,6,3,1.48552,38466,0.00502047,1.00104,1.48707,2346,Col,86.2115097045,0,2,92.52863311767578
324293,W-1_RB3-_S06,-1,6,3,1.61778,44340,0.00200671,1.00077,1.61902,2346,Col,91.3008842465,0,2,95.38079071044922
324293,W-1_RB4+_S06,-1,6,4,1.70191,38955,0.0290096,1.00118,1.70392,2346,Col,81.501548767,0,2,97.60655212402344
324293,W-1_RB4-_S06,-1,6,4,1.82421,35200,0.0163765,1.00119,1.82639,2346,Col,68.187164307,0,2,67.43746185302734
324293,W-1_RB1in_S07,-1,7,1,2.04721,150079,0.0240625,1.00605,2.0596,2346,Col,85.511569977,0,2,97.85829162597656
324293,W-1_RB1out_S07,-1,7,1,2.02315,131535,0.00535261,1.00512,2.0335,2346,Col,86.09539032,0,2,97.68970108032228
324293,W-1_RB2in_S07,-1,7,2,1.58982,89130,0.00652837,1.00342,1.59525,2346,Col,76.82731628433334,0,3,83.97662353515625
324293,W-1_RB2out_S07,-1,7,2,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB3+_S07,-1,7,3,1.78068,47847,0.00353554,1.00134,1.78307,2346,Col,93.250259399,0,2,97.7195167541504
324293,W-1_RB3-_S07,-1,7,3,1.86616,50724,0.00489312,1.00118,1.86836,2346,Col,94.603553772,0,2,98.00161743164062
324293,W-1_RB4+_S07,-1,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4-_S07,-1,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB1in_S08,-1,8,1,2.06359,149383,0.0332781,1.00517,2.07425,2346,Col,82.3995056155,0,2,94.59981536865234
324293,W-1_RB1out_S08,-1,8,1,2.02961,132416,0.005288,1.00481,2.03937,2346,Col,83.21117782600001,0,2,95.44003677368164
324293,W-1_RB2in_S08,-1,8,2,2.01131,134949,0.00544005,1.0038,2.01896,2346,Col,90.22670491566667,0,3,97.7655970255534
324293,W-1_RB2out_S08,-1,8,2,2.05353,118969,0.0368005,1.00421,2.06218,2346,Col,88.757774353,0,2,95.48345947265624
324293,W-1_RB3+_S08,-1,8,3,1.71547,45803,0.00513109,1.00112,1.7174,2346,Col,89.155658722,0,2,94.04863739013672
324293,W-1_RB3-_S08,-1,8,3,1.81671,49738,0.00452918,1.00132,1.81911,2346,Col,93.753417969,0,2,97.7615737915039
324293,W-1_RB4+_S08,-1,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4-_S08,-1,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB1in_S09,-1,9,1,2.10516,156022,0.00719162,1.00499,2.11567,2346,Col,84.3641510005,0,2,96.33992385864258
324293,W-1_RB1out_S09,-1,9,1,2.2387,147656,0.00623143,1.0041,2.24787,2346,Col,85.4934654235,0,2,97.58813095092772
324293,W-1_RB2in_S09,-1,9,2,1.91026,123508,0.00570722,1.00373,1.91738,2346,Col,89.46260070800001,0,3,97.37973276774088
324293,W-1_RB2out_S09,-1,9,2,1.76148,97873,0.00568724,1.00399,1.76851,2346,Col,89.557601929,0,2,95.95222473144533
324293,W-1_RB3+_S09,-1,9,3,1.79423,46372,0.00220546,1.00093,1.7959,2346,Col,91.7309875485,0,2,95.41936492919922
324293,W-1_RB3-_S09,-1,9,3,1.64538,37745,0.00501308,1.00148,1.64782,2346,Col,87.576980591,0,2,90.93911361694336
324293,W-1_RB4_S09,-1,9,4,1.79314,46394,0.00761412,1.00135,1.79557,2346,Col,90.4496269225,0,2,96.15659713745116
324293,W-1_RB1in_S10,-1,10,1,2.24859,170551,0.00657895,1.00575,2.26153,2346,Col,84.8681030275,0,2,96.71573638916016
324293,W-1_RB1out_S10,-1,10,1,2.04122,139736,0.00463064,1.00543,2.05232,2346,Col,86.196804047,0,2,97.2826690673828
324293,W-1_RB2in_S10,-1,10,2,1.84884,126056,0.00374004,1.00427,1.85674,2346,Col,90.16098276766668,0,3,98.01985422770184
324293,W-1_RB2out_S10,-1,10,2,2.13951,128619,0.00548939,1.00448,2.14909,2346,Col,91.2235336305,0,2,97.31958770751952
324293,W-1_RB3+_S10,-1,10,3,2.032,56390,0.00605384,1.00159,2.03523,2346,Col,45.6579170225,1,2,48.561771392822266
324293,W-1_RB3-_S10,-1,10,3,1.78376,48504,0.00356723,1.00136,1.78619,2346,Col,45.369873047,1,2,47.80939483642578
324293,W-1_RB4+_S10,-1,10,4,1.93729,61073,0.00605868,1.00261,1.94234,2346,Col,92.754436493,0,2,97.23408889770508
324293,W-1_RB4-_S10,-1,10,4,1.76589,53941,0.00658024,1.00207,1.76954,2346,Col,92.269493103,0,2,94.86780166625977
324293,W-1_RB1in_S11,-1,11,1,2.15264,163450,0.0242065,1.00559,2.16467,2346,Col,84.63327026350001,0,2,96.83168029785156
324293,W-1_RB1out_S11,-1,11,1,2.05391,140968,0.0343124,1.00505,2.06429,2346,Col,86.02145004249999,0,2,97.46577072143556
324293,W-1_RB2in_S11,-1,11,2,1.92743,125435,0.00594662,1.00327,1.93373,2346,Col,86.01129658999999,0,3,92.38299051920572
324293,W-1_RB2out_S11,-1,11,2,1.94826,118121,0.00639958,1.00366,1.95539,2346,Col,91.391086578,0,2,97.4407196044922
324293,W-1_RB3+_S11,-1,11,3,1.72426,35899,0.00744476,1.00096,1.72591,2346,Col,67.8789958955,0,2,79.18589782714844
324293,W-1_RB3-_S11,-1,11,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB4_S11,-1,11,4,1.85049,51997,0.00466209,1.0016,1.85346,2346,Col,92.524986267,0,2,96.85447311401369
324293,W-1_RB1in_S12,-1,12,1,2.09782,151899,0.00673959,1.00581,2.11,2346,Col,84.0482559205,0,2,96.73283004760742
324293,W-1_RB1out_S12,-1,12,1,2.00405,127221,0.00519832,1.00538,2.01484,2346,Col,82.6281967165,0,2,95.74716186523438
324293,W-1_RB2in_S12,-1,12,2,2.04574,135882,0.00653398,1.00411,2.05415,2346,Col,90.66679128033331,0,3,97.76095581054688
324293,W-1_RB2out_S12,-1,12,2,1.54427,77927,0.00723317,1.00336,1.54946,2346,Col,77.3094100955,0,2,84.09620666503906
324293,W-1_RB3+_S12,-1,12,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W-1_RB3-_S12,-1,12,3,1.69498,45900,0.00528065,1.00107,1.69679,2346,Col,93.4359817505,0,2,97.42681503295898
324293,W-1_RB4+_S12,-1,12,4,1.43093,34627,0.00776892,1.00137,1.43288,2346,Col,79.53599548349999,0,2,89.87292861938477
324293,W-1_RB4-_S12,-1,12,4,1.64759,29851,0.00502263,1.00094,1.64914,2346,Col,85.0748672485,0,2,98.26365661621094
324293,W+0_RB1in_S01,0,1,1,2.19134,185580,0.00493576,1.00586,2.20417,2346,Col,86.14897918700001,0,2,95.31700897216795
324293,W+0_RB1out_S01,0,1,1,2.00512,156189,0.0028885,1.00519,2.01552,2346,Col,88.705062866,0,2,97.4080696105957
324293,W+0_RB2in_S01,0,1,2,2.06704,156764,0.00512922,1.00445,2.07623,2346,Col,92.20976003,0,3,98.3410186767578
324293,W+0_RB2out_S01,0,1,2,1.93364,115448,0.00577841,1.00409,1.94154,2346,Col,80.3749465945,0,2,85.3721923828125
324293,W+0_RB3+_S01,0,1,3,1.97013,60217,0.00402421,1.00102,1.97213,2346,Col,94.6849746705,0,2,98.0643196105957
324293,W+0_RB3-_S01,0,1,3,1.75361,54455,0.00341352,1.0011,1.75554,2346,Col,94.479537964,0,2,98.16901397705078
324293,W+0_RB4+_S01,0,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
324293,W+0_RB4-_S01,0,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0,1,2,0.0
